conversation_id,customer_id,timestamp,channel,agent_id,duration_minutes,transcript,resolved_flag
CONV00001,CUST0002,2026-07-20 16:46:00,email,AGT003,21.6,"Customer: I don't understand how to set up the integration, the docs are confusing.
Agent: I can walk you through it, do you have 10 minutes?
Customer: Not right now. Is there a video?",0
CONV00002,CUST0003,2026-08-02 12:34:00,phone_transcript,AGT008,34.6,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00003,CUST0003,2026-08-05 17:12:00,phone_transcript,AGT010,39.5,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
CONV00004,CUST0003,2026-08-01 09:27:00,email,AGT002,41.4,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00005,CUST0004,2026-07-28 06:03:00,chat,AGT010,25.1,"Customer: how do i import my existing data
Agent: Settings > Import > choose CSV.
Customer: tried that, got an error. ill try again later",1
CONV00006,CUST0004,2026-06-28 07:32:00,phone_transcript,AGT004,32.8,"Customer: I don't understand how to set up the integration, the docs are confusing.
Agent: I can walk you through it, do you have 10 minutes?
Customer: Not right now. Is there a video?",0
CONV00007,CUST0004,2026-07-15 07:32:00,email,AGT003,24.1,"Customer: I don't understand how to set up the integration, the docs are confusing.
Agent: I can walk you through it, do you have 10 minutes?
Customer: Not right now. Is there a video?",0
CONV00008,CUST0004,2026-08-10 22:25:00,phone_transcript,AGT005,33.1,"Customer: We signed up last month but honestly we havent used it much yet.
Agent: Would an onboarding session help?
Customer: Maybe. My team hasnt had time to learn it.",1
CONV00009,CUST0005,2026-07-23 23:13:00,phone_transcript,AGT002,3.9,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
CONV00010,CUST0005,2026-06-19 21:26:00,chat,AGT008,3.4,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
CONV00011,CUST0005,2026-07-16 19:11:00,phone_transcript,AGT011,43.4,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00012,CUST0005,2026-07-23 11:32:00,email,AGT002,31.4,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",0
CONV00013,CUST0005,2026-08-02 06:52:00,email,AGT002,9.7,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00014,CUST0005,2026-08-01 07:52:00,chat,AGT001,34.5,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00015,CUST0006,2026-08-10 09:17:00,phone_transcript,AGT007,24.9,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00016,CUST0006,2026-07-31 16:31:00,chat,AGT005,10.1,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",0
CONV00017,CUST0006,2026-07-31 20:58:00,email,AGT010,34.9,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00018,CUST0006,2026-05-14 23:45:00,chat,AGT002,27.5,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
CONV00019,CUST0007,2026-07-27 02:15:00,chat,AGT012,3.9,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",1
CONV00020,CUST0007,2026-08-10 06:47:00,chat,AGT009,44.7,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",1
CONV00021,CUST0008,2026-05-24 00:24:00,phone_transcript,AGT010,35.2,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",1
CONV00022,CUST0011,2026-07-07 16:41:00,phone_transcript,AGT009,11.5,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",1
CONV00023,CUST0011,2026-08-07 22:25:00,phone_transcript,AGT003,28.9,"Customer: Why did my invoice go up 22% with no notice?
Agent: There was a plan price revision effective this quarter.
Customer: Nobody told us. I need to review whether this still makes sense for us.",1
CONV00024,CUST0011,2026-07-29 08:57:00,phone_transcript,AGT011,18.4,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",0
CONV00025,CUST0011,2026-07-29 01:34:00,chat,AGT005,18.2,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",0
CONV00026,CUST0012,2026-08-01 08:45:00,email,AGT012,8.2,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",0
CONV00027,CUST0012,2026-07-15 22:25:00,email,AGT009,24.8,"Customer: Still no fix. I'm done chasing this.
Agent: I'm escalating to our senior team now.
Customer: Save it. I'm taking this to our legal team if the refund isnt processed.",1
CONV00028,CUST0012,2026-07-03 15:47:00,phone_transcript,AGT002,41.7,"Customer: please send me the offboarding process and data export options
Agent: Before that, can we discuss what went wrong?
Customer: Its too late for that. We've signed with another vendor.",0
CONV00029,CUST0012,2026-06-07 21:26:00,chat,AGT005,18.2,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",0
CONV00030,CUST0012,2026-08-05 22:05:00,chat,AGT010,33.1,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",0
CONV00031,CUST0012,2026-07-30 08:47:00,email,AGT001,11.1,"Customer: please send me the offboarding process and data export options
Agent: Before that, can we discuss what went wrong?
Customer: Its too late for that. We've signed with another vendor.",1
CONV00032,CUST0013,2026-08-11 00:53:00,email,AGT004,31.9,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00033,CUST0013,2026-07-09 11:02:00,phone_transcript,AGT006,35.3,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
